Artist,Total Streams
"Josylvio, Vic9, KA",130627
"Josylvio, Yade Lauren, Kevin",1096598
"Josylvio, Zefanio",645498
"José Madero, Cami",27806
"Jovani, Jazzu",33529
"Jovani, John Duff",11228
"Jovani, Justinas Jarutis",93746
"Jovani, Youth Appeal",23669
"Jovem Dex, Neves, Hash Produções",2190358
"Jowell & Randy, Ñejo & Dalmata",2872277
"Joyce Jonathan, Vianney",222159
"Joyner Lucas, Chris Brown",1824123
"Joyner Lucas, Logic",72609421
"Joyner Lucas, Will Smith",4099557
"Jozo, SBMG",454100
"João Bosco & Vinicius, Henrique & Juliano",5082233
"João Bosco & Vinicius, Matheus",17566594
"João Gabriel, Dilsinho",1084233
"João Gustavo e Murilo, Analaga",164412520
"João Neto & Frederico, Leo Santana",4940823
"João Neto & Frederico, MC Kevinho",15705099
"João Neto & Frederico, Simone & Simaria",14791494
"Jr Crown, Kath, Cyclone, Young Weezy",8592952
"Juan Caoile, Kyleswish",7393943
"Juan Gabriel, Juanes",107928
"Juan Gabriel, Natalia Lafourcade",61426
"Juan Luis Guerra 4.40, Romeo Santos",1530
"Juan Magán, Alvaro Soler, Marielle Hazlo",6123515
"Juan Magán, B-Case",36505962
"Juan Magán, Belinda",41678
"Juan Magán, Belinda, Manuel Turizo, Snova, B-Case",87500509
"Juan Magán, Boni & Kelly",2848121
"Juan Magán, CeeLo Green, André Truth",53885
"Juan Magán, Deorro, MAKJ, YFN Lucci",44141
"Juan Magán, Don Omar",47824
"Juan Magán, Luciana",3769655
"Juan Magán, Luciana, Victor Magan",37002
"Juan Magán, Mala Rodríguez",68097262
"Juan Magán, Mozart La Para, DCS",2038706
"Juan Magán, Pitbull, Rich The Kid, RJ Word",307794
"Juan Oliva, Javi Sabat, Max-A, Capi",23074
"Juancho Marqués, Cruz Cafuné, InnerCut",55486
"Juancho Marqués, Don Patricio, InnerCut",1163165
"Juancho Marqués, FERNANDOCOSTA, InnerCut",693346
"Juancho Marqués, Natos y Waor, InnerCut",303798
"Juancho Marqués, Recycled J, InnerCut",1594728
"Juanes, Alessia Cara",1591184
"Juanes, Christian Nodal",17893913
"Juanes, Crudo Means Raw",95844
"Juanes, Kali Uchis",539549
"Juanes, Lalo Ebratt",146193
"Juanes, Sebastian Yatra",50287412
"Juanpis Gonzalez, Mauro Tejeiro",168897
"Jubin Nautiyal, Neeti Mohan, Abhijit Vaghani",34055
"Jubin Nautiyal, Prakriti Kakar, Tanishk Bagchi, Anand-Milind",610514
"Jubin Nautiyal, Rochak Kohli",992531
"Jubin Nautiyal, Rocky - Shiv",1782182
"Jubin Nautiyal, Rocky-Jubin",195067
"Jubin Nautiyal, Shamir Tandon",57157
"Judika, Shila Amzah",1368897
"Jugglerz, Miami Yacine, Joshi Mizu, Nura, Bausa",72058
"Jugraj Sandhu, Neha Malik",98386
"Juha Tapio, Jukka Poika",191740
"Juhn, Amenazzy",1051
"Juhn, Brytiago, Myke Towers, Lenny Tavárez, Farruko",4063646
"Juhn, Goldy Boy",23315
"Juhn, Lenny Tavárez",255881
"Juhn, Miky Woodz, Bryant Myers, Lary Over",1752301
"Juhn, Ozuna",3915898
"Juice, Adel, Buddha Vybez",138501
"Juice, Buddha Vybez",76692
"Juice, Einár",3676716
"Juice, S.O.A.P., Christina, Remee",3571335
"Juicy P, Koba LaD",724491
"Juju, Hanna",434571
"Juju, Loredana, Miksu / Macloud",64904463
"Jukka Poika, Elastinen",1037105
"Jukka Poika, Janna",656228
"Jul, Alonzo",2053906
"Jul, Aymane Serhani",239623
"Jul, Bigflo & Oli",1245113
"Jul, Djena Della",676532
"Jul, Doria",1194017
"Jul, Fianso",1324374
"Jul, GIMS",819072
"Jul, Gambino, Zackmess, Metah, Oscar, Miklo, Moubarak, TK",461337
"Jul, Ghetto Phénomène, Kamikaz, Moubarak",599334
"Jul, Gips, Houari GP, Le k, Gambi, TK, Moubarak, Miklo, A-Deal, Kamikaz",796950
"Jul, Gips, Moubarak, TK",483700
"Jul, Gips, TK, Moubarak",64764
"Jul, Heuss L'enfoiré",2714757
"Jul, Jimmy Sax",6769104
"Jul, Kalash Criminel",226501
"Jul, La Famax",1022820
"Jul, Landy",726283
"Jul, Loredana",169648
"Jul, Marwa Loud",826165
"Jul, Morad",1218148
"Jul, Moubarak",1626982
"Jul, Mula B",1461556
"Jul, Nessbeal",1236452
"Jul, Ninho",26075285
"Jul, Nyanda",116560
"Jul, Shay",2242870
"Jul, Soolking",1529552
"Jul, Soprano",1026732
"Jul, TK",1779020
"Jul, Vald",2029351
"Jul, Vladimir Cauchemar",125153
"Julia Medina, Carlos Right",465410
"Julia Medina, Dave Zulueta",352667
"Julia Medina, Marta Sango",45408
"Julia Medina, Natalia Lacunza",220970
"Julia Peng, Christine Fan",3715
"Julia Wu, Bolly, Chillaxe, rgry",7868
"Julia Wu, Kimberley Chen",176175
"Julia Wu, 唐仲彣",106822
"Julia Wu, 婁峻碩",666149
"Julian Jordan, CHOCO",18007
"Julian Jordan, Sj",10495
"Julianno Sosa, Polimá Westcoast",50453
"Julie Bergan, Benjamin Ingrosso",5600273
"Julie Bergan, Seeb",4433642
"Julie Maria, Aslak Hartberg",1194816
"Julie, Martin Brygmann",3588139
"Julinho Ksd, Yuran, Trista",6422343
"Julio Melgar, Danilo Montero",6162
"Julio Melgar, Lowsan Melgar",155858
"Julma Henri, Jiiaa",81562
"Julma Henri, Ro$vosheriffi, Djangomayn",24859
"Jumabee, 9ice",7666
"Jumabee, Fiokee",7546
"Jumpa, Moe Phoenix, Capital T",5266
"Junge Junge, Jamie Hartman",21058
"Junge Junge, Kyle Pearce",631552
"Junge Junge, Redward Martin",24155
"Junge Junge, Valentine",67650
"Junior H, Natanael Cano",8945207
"Junior Lord, MC Kevinho",1689721
"Junkilla, TONYB.",4089
"Juno Mak, Kay Tse",3007212
"Juno Mak, Leon Lai",313291
"Juno Mak, 林嘉欣",240422
"Juno Mak, 韋羅莎",124926
"Jussi Hakulinen, Yö",28019
"JustaTee, Hoang Thuy Linh, Đen",761166
"Justin Bieber, Big Sean",21510
"Justin Bieber, Halsey",24807
"Justin Bieber, J Balvin",653038
"Justin Bieber, Kehlani",33489497
"Justin Bieber, Ludacris",47120
"Justin Bieber, Quavo",53140961
"Justin Bieber, Travis Scott",4236
"Justin Bieber, Usher",7121817
"Justin Hurwitz, Emma Stone",295260
"Justin Jesso, Seeb",1754718
"Justin Quiles, Bad Bunny, Almighty",35114
"Justin Quiles, DJ Africa, JENCARLOS",89319
"Justin Quiles, Daddy Yankee, El Alfa",58195543
"Justin Quiles, Dalex, Arcangel, Dímelo Flow, Sech, Alex Rose, Myke Towers",62653
"Justin Quiles, Los De La Nazza",33758
"Justin Quiles, Magnifico, Plan B",682780
"Justin Quiles, Natti Natasha, Farruko",276958474
"Justin Quiles, Nicky Jam, Wisin",6576234
"Justin Quiles, Sech",449867
"Justin Quiles, Sech, Dímelo Flow",300926
"Justin Quiles, Sech, Jowell & Randy",2382611
"Justin Quiles, Yandel, Gadiel",4055944
"Justin Quiles, kenser, Poeta Callejero",1551
"Justin Timberlake, Meek Mill",2167376
"Justin Timberlake, T.I.",103923
"Justinas Jarutis, Monique",24424
"Juzt Marquez, Fiend",8988
"Jyotica Tangri, Piyush Mehroliyaa, Meet Bros.",132262
"Jyotica Tangri, Vivek Kar",69141
"Jóhanna Guðrún, FM95BLÖ",68957
"JóiPé, Króli",8810701
"JóiPé, Króli, Alxndra",25864
"JóiPé, Króli, Auður",43329
"JóiPé, Króli, Auður, BRÍET",33457
"JóiPé, Króli, GDRN",25663
"JóiPé, Króli, GDRN, SZK",697108
"JóiPé, Króli, Helgi B, Helgi A",89929
"JóiPé, Króli, Hipsumhaps",79069
"JóiPé, Króli, Kef LAVÍK",20234
"JóiPé, Króli, Sdóri",33624
"JóiPé, Króli, Sdóri, Helgi A",97003
"JóiPé, Króli, Smjörvi",198752
"Jón Jónsson, Ragnar Bjarnason",2904
"Jānis Paukštello, Raimonds Pauls",3314
"K Koke, Malik Montana",208608
"K-391, Alan Walker, Ahrix",7629174
"K-391, Alan Walker, Julie Bergan",43754367
"K-391, Alan Walker, Tungevaag, Mangoo",25374148
"K-391, Wyclef Jean",1957628
"K-Clique, ALYPH",9812295
"K-Fly, McN",305267
"K.I.Z, Henning May",8710
"K.O, Nandi Madida",3877
"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",32507371
"K27, Dree Low",86637
"K27, Einár",2333207
"KALIM, Jamule",2070071
"KALIM, Luciano",2904719
"KALIM, Nimo",20427711
"KALIM, Ufo361",8373017
"KAROL G, Anuel AA",340809055
"KAROL G, Bad Bunny",20367788
"KAROL G, Bad Bunny, Quavo",1314377
"KAROL G, Cosculluela",2352656
"KAROL G, Damian Marley",197789
"KAROL G, J Balvin, Nicky Jam",123281498
"KAROL G, Maluma",287774246
"KAROL G, Mariah Angeliq",56932
"KAROL G, Nicki Minaj",1230369934
"KAROL G, Ozuna",1094071
"KAROL G, Shaggy, El Capitaan, Sekuence",31628
"KAROL G, Simone & Simaria",19305
"KAROL G, Yandel",3388
"KASIMIR1441, Pashanim",2406849
"KAYTRANADA, Charlotte Day Wilson",1912
"KAYTRANADA, Estelle",1973
"KAYTRANADA, GoldLink, Ari PenSmith",1950
"KAYTRANADA, Iman Omari",2384
"KAYTRANADA, Kali Uchis",2633
"KAYTRANADA, Masego",2269
"KAYTRANADA, SiR",2319
"KAYTRANADA, Tinashe",1796
"KAYTRANADA, VanJess",3283
"KC Rebell, Elias",607357
"KC Rebell, Gringo",11703715
"KC Rebell, RAF Camora",25119205
"KC Rebell, RAF Camora, Kontra K",2610393
"KC Rebell, Summer Cem",43533690
"KC Rebell, Summer Cem, Capital Bra",71615334
"KC Rebell, Ufo361",1242275
"KC Rebell, Veysel",863111
"KEN THE 390, Hisatomi",29395
"KERENMI, Satoshi Fujihara",78932
"KESI, Gilli",11320589
"KESI, Hennedub",2884179
"KEVVO, Farruko, Chencho Corleone, Arcangel, Darell, Ñengo Flow, Brytiago, Myke Towers",54172985
"KEY, Crush",12982
"KEY, JEON SOYEON",6087
"KEY, SOYOU",23300
"KEZ, Sierra Kidd",64384
"KH, JOEYBOY",28251
"KHEA, Bad Bunny, Duki, Cazzu",99524977
"KHEA, Barloe Team",209214
"KHEA, Brytiago",2730546
"KHEA, Duki, Cazzu, Omar Varela, MYKKA",19606071
"KHEA, Yung Pinch",1130902
"KICK THE CAN CREW, Yasuyuki Okamura",122603
"KID FRESINO, Ayano Kaneko",17668
"KIDD, Don Stefano",147556
"KIDDO, Decco",331912
"KIDDO, GASHI",53574
"KIDS SEE GHOSTS, Louis Prima",27897617
"KIDS SEE GHOSTS, Pusha T",24170078
"KIDS SEE GHOSTS, Ty Dolla $ign",18409524
"KIDS SEE GHOSTS, Yasiin Bey",14332163
"KILATE TESLA, Puri",2324544
"KILLY, Houdini, 6ixbuzz",90906
"KLEAR, Phai Phongsathon",452528
"KM, Bryan Mg",153827
"KM, Chivv",1459556
"KM, Frenna, Jonna Fraser",8236165
"KM, Jack",1061705
"KM, Kater Karma",277606
"KM, Rich Kalashh",1757494
"KM, Yxng Le",1632946
"KMN Gang, Azet, Miami Yacine, Nash, Zuna",13018133
"KNALLER, Jack",28686
"KOHH, Taka",50250
"KOI, TIPPA",29847
"KONO, The Fireflies",120228
"KREAM, Clara Mae",243365
"KREAM, Eden Prince",38591
"KREAM, RANI",14703
"KS"", FOMEO",38322
"KSHMR, 7 Skies",4462
"KSHMR, Marnik",3202
"KSHMR, Yves V",5299
"KSI, Randolph",253605
"KSI, Randolph, Jme",522530
"KSI, Randolph, Quadeca",73919
"KSI, Randolph, Talia Mar",276605
"KUMMER, LGoony, KeKe",92740
"KUMMER, Max Raabe",237561
"KUUMAA, SONNY",47819
"Kaam Bhaari, Ankur Tewari",190735
"Kaan, Snoop Dogg, Eleni Foureira",225452
"Kaaris, 4Keus Gang, Q.E Favelas, Mac Kregor",375871
"Kaaris, DA Uzi",40143
"Kaaris, Fler",1487086
"Kaaris, Kalash Criminel, Sofiane",6271605
"Kaaris, Mac Tyer, Sofiane",2113416
"Kaaris, SCH",2820741
"Kaash Paige, Don Toliver",2218660
"Kabe, Chada",295186
"Kabe, Kizo",5946626
"Kabliz, Yemil, Dj Chelino",349318
"Kabza De Small, Bongza",9074
"Kabza De Small, DJ Maphorisa",270377
"Kabza De Small, DJ Maphorisa, Aymos, Samthing Soweto, Mas Musiq, Myztro",697662
"Kabza De Small, DJ Maphorisa, Bontle Smith, Vyno Miller",183523
"Kabza De Small, DJ Maphorisa, Busiswa",3165
"Kabza De Small, DJ Maphorisa, Cassper Nyovest, Qwestakufet",219639
"Kabza De Small, DJ Maphorisa, Cassper Nyovest, Snowdeep, DJ Skelez",17538
"Kabza De Small, DJ Maphorisa, Focalistic, Kamo Mphela, Bontle Smith",518743
"Kabza De Small, DJ Maphorisa, Kamazu, Mas Musiq",105250
"Kabza De Small, DJ Maphorisa, Kamazu, Njelic",3264
"Kabza De Small, DJ Maphorisa, KingTha, Busiswa",15177
"Kabza De Small, DJ Maphorisa, Masterpiece",1489
"Kabza De Small, DJ Maphorisa, Mlindo The Vocalist",283216
"Kabza De Small, DJ Maphorisa, Njelic",710837
"Kabza De Small, DJ Maphorisa, Samthing Soweto",1434
"Kabza De Small, DJ Maphorisa, Semi Tee, Miano, Kammu Dee",757478
"Kabza De Small, DJ Maphorisa, Tallarsetee",15505
"Kabza De Small, Daliwonga",26383
"Kabza De Small, Daliwonga, MDU a.k.a TRP",9978
"Kabza De Small, Daliwonga, XolaniGuitars",10561
"Kabza De Small, Focalistic",2083
"Kabza De Small, Focalistic, Madumane, Bongza",13656
"Kabza De Small, George Lesley, Earl W. Green",3812
"Kabza De Small, Howard, Nia Pearl, Daliwonga",12797
"Kabza De Small, Howard, XolaniGuitars",12409
"Kabza De Small, Kelvin Momo, Kopzz Avenue",9643
"Kabza De Small, Leehleza",57585
"Kabza De Small, Leehleza, Focalistic",4004
"Kabza De Small, Madumane, Daliwonga, Nia Pearl",16916
"Kabza De Small, Mlindo The Vocalist",14536
"Kabza De Small, Nia Pearl",15536
"Kabza De Small, Samthing Soweto",11274
"Kabza De Small, ShaSha, Madumane",12508
"Kabza De Small, Tyler ICU, Nicole Elocin",15598
"Kabza De Small, Vyno Miller",6531
"Kabza De Small, Vyno Miller, Bontle Smith",3669
"Kabza De Small, WizKid",11191
"Kabza De Small, WizKid, Burna Boy, Cassper Nyovest, Madumane",24374
"Kacey Musgraves, Camila Cabello",279677
"Kacey Musgraves, Troye Sivan",4403882
"Kacha Nontanun, Faye Fang Kaew",33738
"Kacha Nontanun, OG-ANIC",54549
"Kacperczyk, Jan-Rapowanie",15126
"Kafani, SOB X RBE",14095
"Kafu Banton, Bad Gyal",7758762
"Kalash Criminel, Douma",226809
"Kalash Criminel, GS CLAN, Brvbus, Kosi",152854
"Kalash Criminel, Gradur",706310
"Kalash Criminel, Jul",771219
"Kalash Criminel, Kaaris",1907286
"Kalash Criminel, KeBlack",95567
"Kalash Criminel, Soolking",408759
"Kalash Criminel, Vald",260819
"Kalash, Damso",16015418
"Kalash, Kalash Criminel",1262009
"Kalash, Luciano",12856176
"Kalash, Niska",1731011
"Kalash, Sfera Ebbasta",26326447
"Kalash, Still Fresh",80488
"Kalazh44, Capital Bra, Samra, Brudi030",722772
"Kalazh44, Capital Bra, Samra, Nimo, Luciano",33047579
"Kalazh44, Noah",241449
"Kalazh44, Olexesh",99849
"Kalazh44, Samra",4182765
"Kalazh44, Veysel",259734
"Kalben, BKE, Hayrettin Taşkaya",76967
"Kaleth Morales, Andres Herrera",77351
"Kali, Dara Rolins",150516
"Kali, Flvwlxss",1844282
"Kali, Flvwlxss, Paluch",576590
"Kali, Flvwlxss, Paluch, Żabson",1213665
"Kali, Klaudia Szafrańska, PlanBe, Sir Mich",51450
"Kali, Laura Weng",6319
"Kali, Magiera",135002
"Kali, Magiera, O.S.T.R.",302076
"Kali, Magiera, Włodi",467523
"Kali, Majk Spirit",3081
"Kali, Miso Biely",3121
"Kali, Nerieš",7791
"Kali, Rida Radar",575720
"Kali, Separ",1022
"Kali, Sima",112173
"Kali, Slipo, Claudia",1150
"Kali, Tomáš Botló",2108
"Kali, Čis T a Mišo Biely",7331
"Kali, Čis T",64844
"Kalle Moraeus, Orsa Spelmän",58016
"Kamar Tachio, Teni",75379
"Kamelen, Gee Dixon",17354
"Kamelen, KingSkurkOne",741840
"Kamerzysta, Kubańczyk",734673
"Kami-sama, I have noticed",39368
"Kamikazee, Kyla",81275
"Kamufle, Deniz Tekin",144524
"Kan Sano, Tavito Nanao",6297
"Kanon, Hatemost",33221
"Kanon, Thitis",17711
"Kany Garcia, Camilo",1767
"Kany Garcia, Tommy Torres",156464
"Kanye West, Ant Clemons",26216409
"Kanye West, Clipse, Kenny G",35711524
"Kanye West, Fred Hammond",22771207
"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo, Desiigner",1010181
"Kanye West, Jamie Foxx",12423276
"Kanye West, Lupe Fiasco",45885
"Kanye West, PARTYNEXTDOOR",119701612
"Kanye West, Pusha T",79282
"Kanye West, Sunday Service Choir",26271252
"Kanye West, T-Pain",87435
"Kanye West, Travis Scott",3272919
"Kanye West, Ty Dolla $ign, Ant Clemons",39446513
"Kapitány Máté, Dzsúdló",6049
"Kapitány Máté, trAnzKaPHka",2576
"Kaptein Sabeltann, Terje Formoe",52504
"Kapteinen, Unge Ferrari",87392
"Karan Aujla, Gurlez Akhtar",3829591
"Karan Aujla, J-Statik",177199
"Karan Sehmbi, Tanishk Bagchi, Goldboy",9613175
"Karel Gott, Charlotte Ella Gottová",2158362
"Karel Gott, Darina Rolincová",34712
"Karel Gott, Darinka",3537
"Karel Gott, Ivana Snopová",20740
"Karel Gott, Lucie Bílá",3388
"Karel Gott, Lucie Vondrackova",7018
"Karel Gott, Marcela Holanova",10313
"Karencitta, Amaan Ali Bangash, Ayaan Ali Bangash",3153
"Karetus, Wet Bed Gang",1264929
"Kari Jobe, Cody Carnes, Elevation Worship",10081
"Karim Alger, Mwuana",574858
"Karl William, Burhan G",325965
"Karl Wolf, Gyptian",21005
"Karlo, Alxndr London",5149
"Karlo, Davs",10185
"Karlo, Fobia Kid",32908
"Karlo, Fvck_kvlt",17791
"Karlo, Jickson",11896
"Karlo, Loko Loko",33323
"Karlo, Nik Tendo",184146
"Karlo, Nik Tendo, AstralKid22",22460
"Karlo, Nik Tendo, Dalyb",182272
"Karlo, Nik Tendo, Eight O",45902
"Karlo, Nik Tendo, Yzomandias",72009
"Karlo, Robin Zoot, Koky",13378
"Karlo, Separ",61307
"Karlo, Taomi, LUISA",36901
"Karlo, Viktor Sheen",23664
"Karlo, Yzomandias",20616
"Karo x Parana, Parana, Karo",1454458
"Karolina Meschino, Retro",2163
"Karpe, Isah, Dutty Dior",597020
"Kartellen, Sebbe Staxx, Dani M",972584
"Kartky, HVZX",15934813
"Kase.O, El Momo",36171
"Kaskade, LöKii",4407
"Kasmir, F",102597
"Kasmir, JVG",20255
"Kasmir, SAARA",83461
"Kasmir, SINI YASEMIN",51742
"Kastrācija, Steps",1001
"Kasza Tibi, Dér Heni",131655
"Katastrofe, Hver gang vi møtes",512842
"Katastrofe, OnklP, Kriss",2407005
"Katharine McPhee, Jason Reeves",6216198
"Katja Krasavice, Stard Ova",11382909
"Kato, Sigala, Hailee Steinfeld",2816010
"Katrix and Doron Beaton, קייט ואור",1520
"Katy Garbi, Antonis Remos",159863
"Katy Perry, Juicy J",1057
"Katy Perry, Migos",12997180
"Katy Perry, Nicki Minaj",25604852
"Katy Perry, Skip Marley",242367902
"Katy Perry, Snoop Dogg",49845
"Kav Verhouzer, BullySongs",41948
"Kav Verhouzer, Sjaak",11557288
"Kaveh Ali Mohammad, OnklP",28885
"Kavka Shishido, Tokyo Ska Paradise Orchestra",6033
"Kay One, Mike Singer",9880158
"Kay One, Pietro Lombardi",15499654
"Kay One, Stard Ova",57281
"Kay Tse, 樂瞳, Jinny Ng, Linda Chung, Joyce Cheng, Alfred Hui, Super Girls, Hubert Wu",2795
"KayGee DaKing, Bizizi",14384
"KayGee DaKing, Bizizi, Killer Kau",470789
"Kayah, Goran Bregović",42923
"Kaydy Cain, Neo Pistea",14749
"Kayee Tam, Kelvin Kwan",2476
"Kayee Tam, 林師傑, Alvin Ng",5009
"Kaz Bałagane, Kabe, Chris Carson",405615
"Kaze, Dj Figu",50172
"Kazzabe, El Chevo, Polache, Pilo Tejeda",3131
"KeBlack, Dadju",20364
"KeBlack, Niska",99208
"Keak Da Sneak, Gucci Mane, Kafani",8175
"Keak Da Sneak, Kafani",10562
"Keala Settle, The Greatest Showman Ensemble",226526061
"Keanna Taiyh, 雞二兄弟",6228
"Keen Levy, Rvfv",1049550
"Keerthana Sharma, Saketh",1171690
"Keith Urban, Carrie Underwood",768833
"Keizer, F1rstman",81762
"Keişan, Anıl Piyancı",13083093
"Keişan, Ben Fero",1762106
"Keişan, Delaredo",25237
"Keişan, Khontkar",9675135
"Keko Salata, BESS, Sexmane",1511977
"Kekra, Niska",5317732
"Kelemen Kabátban, Eckü",19322
"Kelmitt, Lary Over, Farruko",6684
"Kemal Palevi, Young Lex, Mack G",4770
"Kempi, Anouk",816920
"Kempi, Frenna, KM",1111166
"Kempi, Hef, D-Double, Vic9, Kevin",36286
"Kempi, Kris Salvathore",211086
"Kempi, Salut!",193602
"Kempi, The Blockparty",49003
"Kempi, The Blockparty, Josylvio, Sevn Alias",95578
"Ken Hirai, Aimyon",4307909
"Ken Hung, 屎萊姆",3287
"Kendji Girac, Claudio Capéo",1049833
"Kendo Kaponi, Anuel AA",1145
"Kendrick Lamar, Jay Rock",455450
"Kendrick Lamar, MC Eiht",6583790
"Keng Tachaya, OZEEOOS",23873
"Keng Tachaya, ปู่จ๋าน ลองไมค์",103161
"Kenn Colt, Nari & Milani",103560
"Kenny Allstar, Headie One",56886
"Kenny B, Perle Lama",24254
"Kenny Bee, Jimmy Lin, David Ling Jr",2266
"Kenny Man, Lalo Ebratt, Yera",81127
"Kenny Man, Sebastian Yatra",8740546
"Kenny Rogers, Sheena Easton",297452
"Keren Peles, Ron Buhnik",147386
"Keren Peles, Roni Alter",75417
"Kerim, Nashley",24356
"Kery James, Orelsan",556596
"Kesha, The Dap-Kings Horns",2350
"Ketama126, Massimo Pericolo",20242991
"Ketama126, Tedua, Chris Nolan",17649757
"Kevcody, Hansie",101753
"Kevin Boine, Martine Lunde",1396853
"Kevin Faye, Johnny Edlind",368632
"Kevin Roldan, Ayo Jay",13869
"Kevin Roldan, Bad Bunny",62779
"Kevin Roldan, Bryant Myers, Lyanno",9442729
"Kevin Roldan, De La Ghetto",63470
"Kevin Roldan, Rauw Alejandro, KHEA",298700
"Kevin Roldan, Wisin",24794
"Kevin Roldan, Zion & Lennox, DJ Maff",25183441
"Kevin, 3robi",265800
"Kevin, Bizzey, Trobi",3274678
"Kevin, Boef",1159692
"Kevin, DJEZJA",13724
"Kevin, Emms",1951738
"Kevin, Hef, Vic9",717959
"Kevin, Jonna Fraser",140828
"Kevin, Josylvio",427476
"Kevin, Lijpe",7626453
"Kevin, Lil Kleine, Chivv",18467407
"Kevin, Murda",1212177
"Kevin, Sevn Alias",418247
"Kevin, Sigourney K",3641768
"Kevo DJ, KHEA",33839
"Key Largo, 4Keus",74318
"Key Largo, Kodes",236682
"Kezah, Freddy Gladieux, Squeezie",12560749
"Khai Bahar, Fatin Husna",1722930
"Khaled, GASHI",108356
"Khalid, 6LACK, Ty Dolla $ign",381675412
"Khalid, Disclosure",451757642
"Khalid, Disclosure, DaVido, Tems",32263
"Khalid, H.E.R.",420596
"Khalid, Majid Jordan",2429847
"Khalid, SAFE",323511
"Khaliji, Badr Bnidr",36327
"Khalil Fong, Diana Wang",7571
"Khalil Fong, Jane Zhang",3173
"Khan Bhaini, Shipra Goyal",3389210
"Khontkar, Ben Fero",18828444
"Khontkar, Myndless Grimes",7629135
"Khontkar, UUR",35006
"Khuli Chana, Cassper Nyovest",1793
"Khushank Dalal, Ajey Nagar",423842
"Khói, Two",8619
"Kiana V, Curtismith",19041
"Kianush, Jamule",2623581
"Kianush, Moe Phoenix",1608543
"Kianush, PA Sports",47741134
"Kianush, PA Sports, Mosh36",2783915
"Kid Cudi, King Chip",5617
"Kid Cudi, Pharrell Williams",15451
"Kid Cudi, Travis Scott",143988
"Kid Trunks, Flyboy Tarantino, Robb Bank$",291985
"Kida, Ermal Fejzullahu",58071
"Kidd Keo, Aleman",5566321
"Kidd Keo, Cheu-B",26268
"Kiddo Toto, Cieloazul",2805994
"Kiddtetoon, Diego Smith",51228
"Kideko, George Kwali, Nadia Rose, Sweetie Irie",333530
"Kids of revolution, Ricky Rich",787355
"Kiko el Crazy, Amenazzy",1534
"Kilian & Jo, Erik Rapp",44617
"Killa Fonic, 911",1866
"Killa Fonic, AMI",38045
"Killa Fonic, Azteca, Nane",35712
"Killa Fonic, Carla's Dreams",781965
"Killa Fonic, Nane",964545
"Killa Hakan, Ceza, Ezhel, Ben Fero",14362576
"Killa Hakan, Eypio",82473
"Killa Hakan, Ezhel, Gringo",2568025
"Killa Hakan, Summer Cem",21174
"Killakikitt, Er",10117
"Killakikitt, Gitano",13669
"Killakikitt, Krúbi",30833
"Killakikitt, Krúbi, Ljay",14378
"Killakikitt, Ljay",9521
"Killer Kamal, Pietju Bell",1444468
"Kilo, Stína Ágústsdóttir",1477
"Kilomatik, Ramo, Marlo",820663
"Kim Loaiza, Jd Pantoja",2388
"Kimberley Chen, SMY",66735
"Kimmese, Đen",379337
"Kina, Adriana Proenza",145311603
"King Fela, Omagugu",4299
"King Khalil, Azan, KAY AY",502953
"King Khalil, KAY AY",278168
"King Khalil, Lil Lano",1608302
"King Khalil, Maestro",87830
"King Monada, Madumane, Kabza De Small, Sha Sha",7861
"King Monroe, Falkon",8440
"King Monroe, Filius Dei",2354
"King Monroe, Richie Pagani",5144
"King Monroe, Wörky",4579
"King Promise, Chivv",289659
"King Thateron, King Siniestro",35016
"KingSkurkOne, AVGVSTVS",14233
"KingSkurkOne, OnklP",14477
"Kingfish, Eevil Stöö",8025
"Kingfish, MD$, Bizi, Gracias",7333
"Kings, Alexandra",3189
"Kings, EPITHE",42580
"Kingsize, LouiVos",25434
"Kingsize, LouiVos, 3robi",90195
"Kingsize, Mula B",27776
"Kingsize, Mula B, Bartofso",20616
"Kingttana, Nesty",19796
"Kiyo, Yzkk",610443
"Kizo, Major SPZ",562026
"Kizo, Malik Montana",5177411
"Kizo, Paris Platynov, Kaz Bałagane",2166287
"Kizo, Qry",16442
"Kizo, Qry, Claysteer",3287693
"Kizo, Reto, Borixon",982183
"Kizo, Sapi Tha King",46558
"Kizo, Szpaku, Jano Polska Wersja",873930
"Kizo, Taco Hemingway",1025099
"Kizo, Tymek",2189590
"Kizo, Tymek, Mr. Polska",1263320
"Kizo, Wac Toja",138824
"Kizo, ZetHa",467176
"Kjartan Lauritzen, Store P",387545
"Klava Koka, MORGENSHTERN",17071
"Klingande, Jamie N Commons",37283
"Klingande, Krishane",54488
"Klingande, Stevie Appleton",115870
"Klockrent!, Alpis",21533
"Kmy Kmo, Luca Sickta",35777
"Kmy Kmo, Luca Sickta, Dato' M. Nasir",237092
"Knife Party, Pegboard Nerds",4126
"Knossi, Die Atzen",934520
"Koba LaD, Bolémvn, Mafia Spartiate",2835694
"Koba LaD, Maes",15126204
"Koba LaD, Ninho",21247161
"Koba LaD, Niska",44939800
"Kobb, Socrate",1140
"Kobi Cantillo, Lenny Tavárez",614154
"Kobi Peretz, Avi Elbaz",1503
"Kobik, Joda, Szpaku, Paluch",954240
