Artist,Total Streams
"A.R. Rahman, Badshah, Tanishk Bagchi, Shashaa Tirupati, Jubin Nautiyal",4739847
"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",16195
"A.R. Rahman, Javed Ali, Mohit Chauhan",1304712
"A.R. Rahman, Mayssa Karaa, thoughtsfornow",20496
"A.R. Rahman, Naresh Iyer",5086
"A.R. Rahman, Shashaa Tirupati",185433
"A.R. Rahman, Sreekanth Hariharan, Madhura Dhara Talluri",130874
"A.R. Rahman, Thalapathy Vijay",1755464
"A/DA 阿達, Chun Feng, Ming Wei Yang",2543
"ACRU, WOS",4218002
"ACTART, Wonderframe",125902
"ADAAM, D50",5335731
"ADAAM, DnoteOnDaBeat",474141
"ADAAM, Einár",92757
"ADAAM, Jamkid",191796
"ADAAM, VC Barre",496607
"ADF Samski, ADF Ricky",641412
"ADF Samski, p.APE",31489
"ADHD, Rasmus Paludan",3107966
"ADL, Choice, Negra Li, Djonga, Menor do Chapa",1453408
"AG, Beebilõust",2233
"AGA, Gin Lee",1384032
"AI, Kanna",89465
"AI, 頑童Mj116",38239
"AJ Mitchell, Ava Max",111047
"AJ Tracey, KSI",688214
"AJ Tracey, Skepta",3122072
"AJ Tracey, Z.E",450440
"AJ, Deno",20992935
"AJ, Geko, Ard Adz, Koomz",363123
"AJR, Rivers Cuomo",15156083
"AK AUSSERKONTROLLE, Bonez MC",16105032
"AK AUSSERKONTROLLE, Fux Ausserkontrolle",3072462
"AK AUSSERKONTROLLE, Kontra K",75412
"AK AUSSERKONTROLLE, Sa4",336429
"AK AUSSERKONTROLLE, Shindy",4061848
"AK AUSSERKONTROLLE, Veysel",9837703
"AK-47, Noggano",1548
"AKA, JR",1213
"AKA, KDDO",2008
"AKA, Kwesta",2284
"AKA, L-Tido",7553
"AKA, Okmalumkoolkat, JR",2498
"AKA, Stogie T",1409
"AKA, Yanga Chief",1940
"AKA, YoungstaCPT",35605
"AKASA, Neeti Mohan, Kamaal Khan",335830
"AKASA, Neeti Mohan, Kamaal Khan, Vishal-Shekhar",47706
"AKKOGORILLA, Taichi Mukai",48530
"AKLO, JAY'ED",47325
"ALKØ, Valdís",1251
"ALLMO$T, L.A. GOON$, Peso Mercado",13361219
"ALMA, MØ",69417
"ALMA, Tove Lo",410350
"ALMA, Tove Styrke",724044
"ALREADY DEADD, FIIXD, YOUNGOHM",46304
"ALYPH, SonaOne",1669615
"AM La Scampia, Lacrim",3132086
"AMEE, B Ray",29217
"AMEE, Ricky Star",16341
"AMEE, Viruss",2991
"AMO98, Casanova",3594
"ANAVITÓRIA, Atitude 67",57909
"ANAVITÓRIA, Diogo Piçarra",853288
"ANAVITÓRIA, Matheus & Kauan",70418366
"ANAVITÓRIA, OUTROEU",2297746
"ANAVITÓRIA, Tiago Iorc",55142909
"ANAVITÓRIA, Vitor Kley",72827521
"ANNA, MadMan, Gemitaiz",1915208
"ARON, Moonkey, MYGAL",82392
"ARmusicHIT, DB Gad, Dyler",79065
"ATC Taff, ATC Toro",2995
"ATYPISK, Gilli",1449545
"AWAY, Midoca",9968
"Aaron Kwok, Beta Soul",2811
"Aaron Tveit, Eddie Redmayne, Students, Les Misérables Cast",38127
"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, Divya Kumar",2586259
"Abdullah Al Farwan, Abdullah Al Mukhles",5720
"Abdullah Al Mukhles, Abdullah Al Farwan",74899
"Abdullah Al Mukhles, Fahed Bin Fasla",702319
"Abdullah Alshahe, Haya Ahmed",387657
"Abel Pintos, Beatriz Luengo",34201
"Abel de Jong, Malik Montana, Mr. Polska",29729
"Abel de Jong, Mr. Polska, Malik Montana",127512
"Abhay Jodhpurkar, Ajay-Atul",210868
"Abhay Jodhpurkar, Anjana Ankur Singh",18095
"Abhijeet Srivastava, Vishal-Shekhar",8265964
"Abidaz, Einár, HAVAL",195136
"Abidaz, Rami",96802
"Abidaz, Yung Lean",133091
"Abo El Anwar, ARSENIK",36811
"Abou Debeing, Dadju",3975960
"Abou Debeing, Imen Es",217199
"Above The Hood, Hawk, Pepe Frantik, Long3, Smuggler, Sapranov, Spine",488781
"Above The Hood, Hawk, Spine, Long3, Pepe Frantik, Sapranov",428959
"Above The Hood, Sapranov, Hawk, Smuggler, Pepe Frantik, Long3, Spine",84442
"Above The Hood, Sapranov, Hawk, Smuggler, Pepe Frantik, Spine, Long3",50829
"Above The Hood, Smuggler, Pepe Frantik, Spine, Hawk, Sapranov, Long3",18238
"Abra, Chito Miranda of Parokya Ni Edgar",338367
"Abraham Mateo, 50 Cent, Austin Mahone",9020110
"Abraham Mateo, CNCO",3651977
"Abraham Mateo, Farruko, Christian Daniel",34021335
"Abraham Mateo, Manuel Turizo",1927067
"Abraham Mateo, Sofía Reyes",22541727
"Abraham Mateo, Yandel, Jennifer Lopez",2224729
"Abraham Vazquez, T3R Elemento, Los de la O",53373
"Abyusif, Abo El Anwar",612718
"Achee Flips, Lani Mo, Omar X",978753
"Achille Lauro, Boss Doms",41522804
"Achille Lauro, Boss Doms, Gemitaiz",10697727
"Achille Lauro, Coez",465851
"Achille Lauro, Gow Tribe, Boss Doms",532712
"Achille Lauro, Simon P",204428
"Achtabahn, Wincent Weiss",170415
"Adam Mišík, Dorian",1703711
"Adam Mišík, Sofian Medjmedj, SKiNNY BARBER",7835
"Adam Port, &ME, Rampa",1005
"Addal, Henri PFR",71986
"Addikt102, Stacks102, 102 Boyz",67007
"Adel Tawil, KC Rebell, Summer Cem",2903948
"Adel, Aden",1955472
"Adel, Aj B",29719
"Adel, Armin",856275
"Adel, Asme, Dree Low",62361
"Adel, Dani M",27050
"Adel, DnoteOnDaBeat",326415
"Adel, Dree Low",12918069
"Adel, Einár",1262149
"Adel, HAVAL",53511
"Adel, P.J",4415057
"Adelén, Kapla y Miky",112116
"Aden x Asme, Aden, Asme",11471861
"Aden, Asme",630450
"Adera, Nadiya Rawil",2929519
"Adesse, Sido",107640
"Adi L Hasla, Elias Gould",266379
"Adi L Hasla, IKE",41510
"Adi L Hasla, Mäkki, Kube",113937
"Adi L Hasla, Pihlaja",9854056
"Adi Nowak, DZIARMA",2112161
"Adi Nowak, The Returners",72305
"Adje, Architrackz",136488
"Adje, Architrackz, Crooks",24033
"Adje, Architrackz, Josylvio",83832
"Adje, roselilah, Geechi, Frsh",368716
"Adnan Sami, Lo Jill, Kunaal Vermaa",179066
"Adolf Fredriks Musikklasser, Stockholms Musikgymnasium",244431
"Adolf Fredriks Ungdomskör, Adolf Fredriks Flickkör",74375
"Adolphe Adam, John Williams",330904
"Adoo, SAMI",125218
"Ados, Şanışer",139227
"Ados, Şanışer, Sokrat St",159759
"Adrian Khalif, Dipha Barus",6021
"Adrian Sellevoll, NonStop Music",383413
"Adrian Sellevoll, Snow Boyz",230899
"Adriel Favela, Código FN",29286290
"Adriel Favela, Javier Rosas",53530863
"Adrijana, Z.E",450597
"Ae Jirakorn, วิน รัตนพล",1524
"Aeh Syndrome, MVL",18324
"Aerozen, Tussin",241063
"African Elvis, Lyrick Litani",33419
"Afro Bros, Finest Sno",217416
"Afro Bros, Finest Sno, Kalibwoy, Darr3n",100980
"Afro Bros, Kalibwoy",160165
"Afro Bros, Supergaande",40966
"Afro Brotherz, Prince Kaybee, Lady Zamar",1971
"Afrojack, David Guetta, Ester Dean",1060065
"Afrojack, Jewelz & Sparks",62345
"Afrojack, Luis Fonsi",165326
"Afrojack, Stanaj",132448
"Agam Buhbut, Gal Adam",577746
"Agapornis, El Villano",6884
"Agapornis, Hernan y La Champion's Liga, Lauro",13822871
"Agatha, Max Vangeli",15305
"Agir, Ana Moura",49948
"Agir, Carolina Deslandes, Diogo Piçarra",182956
"Agir, Diogo Piçarra",409680
"Agir, Papillon",176904
"Agnes Nunes, Xamã",3753066
"Agus Padilla, Ecko",6793922
"Agus Padilla, Papichamp",33958
"Agust D, MAX",2990146
"Agust D, NiiHWA",2937527
"Agust D, RM",3261663
"Agust D, SURAN",2959
"Agust D, Yankie",2730
"Agustín Casanova, Abraham Mateo, Mau y Ricky",160054
"Agustín Casanova, Chyno Miranda",301480
"Ahdam, Parana",449358
"Ahmad Amin, The Cratez",346303
"Aitana, Amaia",1516606
"Aitana, Ana Guerra",52525859
"Aitana, Ana Guerra, Greeicy, TINI",3376364
"Aitana, Cali Y El Dandee",34730236
"Aitana, Lele Pons",4165421
"Aitana, Lola Indigo",27036420
"Aitana, Reik",4422111
"Aitch, AJ Tracey, Tay Keith",25824255
"Aitch, MoStack",770336
"Aivovuoto, Ex Tuuttiz",7746
"Aiza Seguerra, Juris, Yeng Constantino, Carol Banawa",189778
"Ajay-Atul, Ajay Gogavale",41114
"Ajda Pekkan, Bahadır Tatlıöz",88858
"Ajey Nagar (CarryMinati), Yash Nagar (Wily Frenzy)",519432
"Akhil Sachdeva, Antara Mitra, Arijit Singh, Benny Dayal, Dhvani Bhanushali, Karan Sehmbi, Nikhita Gandhi, Rahat Fateh Ali Khan, Sachet Tandon, Shreya Ghoshal, Tulsi Kumar, A.R. Rahman, Amaal Mallik, Goldboy, Mithoon, Pritam, Rochak Kohli, Sachet-Parampara, Sandesh Shandilya, Sourav Roy, Tanishk Bagchi, DJ Yogii",3398118
"Akhil Sachdeva, Mansheel Gujral",1355057
"Akhil Sachdeva, Tulsi Kumar",21489074
"Akhil, Dhvani Bhanushali",3051110
"Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",22260305
"Akhil, Manni Sandhu",99785
"Aki Starr, Willie Valentin",7211
"Akim, Chamaco",147220
"Akim, Farruko, Ankhal",209561
"Akim, SECH",1437158
"Akon, Eminem",27787
"Akram Hosny, Ahmed Fahmi",3062
"Aku, Nikke Ankara, Jussi Kuoma",9544
"Akáty, Přehmaty",3511
"Al Gear, Farid Bang, Kollegah",47642
"Al James, Rjay Ty, Lexus",3796980
"Aladin 135, PLK",52383
"Alan Gomez, Bebo Yau",695619
"Alan Gomez, Jona Mix",1456542
"Alan Menken, Tim Rice, Lea Salonga, Brad Kane",392756
"Alan Walker, A$AP Rocky, Kameron",4868601
"Alan Walker, Au/Ra, Tomine Harket",185249265
"Alan Walker, Ava Max",173420165
"Alan Walker, David Whistle",1062823
"Alan Walker, Gavin James",22708984
"Alan Walker, Hans Zimmer",141735
"Alan Walker, Julie Bergan",517444
"Alan Walker, Julie Bergan, K-391, SEUNGRI",6145582
"Alan Walker, K-391, Emelie Hollow",64961986
"Alan Walker, K-391, Sofia Carson",7049682
"Alan Walker, Noah Cyrus, Digital Farm Animals",113095544
"Alan Walker, Ruben",4185366
"Alan Walker, Sabrina Carpenter, Farruko",329893084
"Alan Walker, Sophia Somajo",97234705
"Alan Walker, Sorana",16121442
"Alan Walker, Steve Aoki",644594
"Alan Walker, Trevor Guthrie",37708
"Alba Reche, Carlos Right",420872
"Alba Reche, Natalia Lacunza, Julia Medina",217309
"Alba Reche, Noelia Franco",545843
"Alba Reche, Pol Granch",56938
"Albatraoz, Ture Brute",7460943
"Albert Dyrlund, Niklas",87035
"Albert Dyrlund, Sidney Lee, Jesu Brødre",1680991
"Albin Johnsén, Gontevas",18583
"Albin Myers, ODZ",1709118
"Albo Inaczej, Mrozu",15874
"Albo Inaczej, Piotr Ziola",8331
"Alda Dis, Unglingalandsliðið",1043
"Alda Dis, Unglingalandsliðið, Ýmsir",2382
"AldoRanks, Dubosky",1086
"Ale Mendoza, Tayl G, Sartiboy, Fracisco Paez, Ale Puga, Yessie, Sunday Funday, Pedro Cuevas, Hancer, ZELAYA",2203
"Alejandro Balbis, Emiliano Muñoz",2204
"Alejandro Fernández, Christian Nodal",103438
"Alejandro Fernández, Los Tigres Del Norte",329991
"Alejandro Fernández, Morat",39728687
"Alejandro Fernández, Sebastian Yatra",21610856
"Alejandro Sanz, Camila Cabello",26790150
"Alejandro Sanz, Judit Neddermann",85079
"Alejandro Sanz, Marc Anthony",12180786
"Alejandro Sanz, Nicky Jam",4578299
"Alejandro Sanz, Residente",161086
"Alekna, Otreya",20916
"Aleman, Dee, Fntxy, Yoga Fire, Muelas De Gallo",177243
"Aleman, Natanael Cano",460048
